Intel(R) Memory Latency Checker - v3.12
Command line parameters: --loaded_latency -e -r 

Using buffer size of 100.000MiB/thread for reads and an additional 100.000MiB/thread for writes

Measuring Loaded Latencies for the system
Using all the threads from each core if Hyper-threading is enabled
Using Read-only traffic type
Inject	Latency	Bandwidth
Delay	(ns)	MB/sec
==========================
 00000	525.40	131472.3
 00002	525.92	131491.9
 00008	523.21	131742.2
 00015	522.84	131570.8
 00050	519.62	131764.8
 00100	392.99	132057.8
 00200	152.02	103096.2
 00300	139.95	 74711.5
 00400	136.07	 58876.8
 00500	133.40	 48238.1
 00700	130.30	 35637.9
 01000	120.83	 25529.8
 01300	116.18	 19883.1
 01700	115.33	 15397.0
 02500	114.53	 10687.2
 03500	114.00	  7811.0
 05000	113.58	  5645.9
 09000	113.15	  3394.3
 20000	112.76	  1841.9
